,gammaTuple,power,harmonic,a1,b1,a2,b2,V1,I1,V2,I2,Pin,Pout,Gain,Pdc1,Pdc2,PAE,Load Gamma,r,x
1503,"(56,)",7,1,(0.14142+1.1167e-08j),(-0.045018-0.074978j),(0.042383+0.21187j),(-0.017371+0.26952j),-0.3,9.0586e-08,3.0,0.027865,0.00617564779600006,0.013128783225999988,2.125895721336868,-2.71758e-08,0.083595,0.08317645110353403,(0.7727559290968229-0.20705900580417377j),0.7727559290968229,-0.20705900580417377
1504,"(56,)",7,2,(-7.8108e-10+2.2785e-09j),(-0.015291+0.0074756j),(5.5849e-10+8.9513e-09j),(-0.041991+0.047531j),,,,,-0.0001448496381799971,0.0020112200209999593,-13.884881220764395,,,,(9.99424932410217e-08-1.0004366063587431e-07j),9.99424932410217e-08,-1.0004366063587431e-07
1505,"(56,)",7,3,(4.6069e-10+9.0386e-10j),(-0.0022088+0.0068276j),(2.2501e-09+2.6579e-09j),(-0.0020518+0.02454j),,,,,-2.5747459599999486e-05,0.00030321074161999387,-11.776336241731588,,,,(9.994387153994258e-08-1.0004746681441132e-07j),9.994387153994258e-08,-1.0004746681441132e-07
1506,"(56,)",8,1,(0.15868+1.119e-08j),(-0.044905-0.091696j),(0.039627+0.21758j),(-0.022545+0.27552j),-0.3,1.7028e-07,3.0,0.027774,0.007377363479500059,0.013754095947999992,1.864364686140158,-5.1083999999999996e-08,0.08332200000000001,0.07653119786490882,(0.7727636825245172-0.2070592233685948j),0.7727636825245172,-0.2070592233685948
1507,"(56,)",8,2,(-9.8938e-10+2.6345e-09j),(-0.018125+0.00823j),(3.5472e-10+1.0483e-08j),(-0.050673+0.054167j),,,,,-0.00019812426249999599,0.002750908408999945,-13.884762897224668,,,,(9.994115628151399e-08-1.0004316672980152e-07j),9.994115628151399e-08,-1.0004316672980152e-07
1508,"(56,)",8,3,(3.6583e-10+1.2058e-09j),(-0.0041948+0.0078594j),(2.1674e-09+3.7408e-09j),(-0.0078829+0.029539j),,,,,-3.968325769999922e-05,0.0004673463167049907,-11.776914089011393,,,,(9.994097567582326e-08-1.0004484637783767e-07j),9.994097567582326e-08,-1.0004484637783767e-07
1509,"(56,)",9,1,(0.17804+1.1177e-08j),(-0.044157-0.11057j),(0.037056+0.22262j),(-0.027282+0.28078j),-0.3,2.7176e-07,3.0,0.027861,0.008761338025500064,0.014324452193999995,1.6349617093083688,-8.1528e-08,0.083583,0.06655796236674838,(0.7727438532077964-0.2070588995057166j),0.7727438532077964,-0.2070588995057166
1510,"(56,)",9,2,(-1.2274e-09+2.9576e-09j),(-0.02094+0.0086689j),(1.3036e-12+1.1942e-08j),(-0.059738+0.05969j),,,,,-0.0002568167136049948,0.0035657623719999292,-13.884463833940202,,,,(9.994217662118511e-08-1.0004438510632193e-07j),9.994217662118511e-08,-1.0004438510632193e-07
1511,"(56,)",9,3,(2.4076e-10+1.5033e-09j),(-0.0063068+0.008706j),(1.9761e-09+4.8284e-09j),(-0.01428+0.034017j),,,,,-5.7785081119998844e-05,0.0006805373444999862,-11.777042297245456,,,,(9.994232932209059e-08-1.0004634337888273e-07j),9.994232932209059e-08,-1.0004634337888273e-07
1512,"(57,)",1,1,(0.070879+7.5872e-09j),(-0.023939-0.018938j),(0.076228+0.12498j),(0.0044095+0.18293j),-0.3,9.2262e-12,3.0,0.034804,0.0020460545380000285,0.006026060103125003,2.9452099106875904,-2.76786e-12,0.104412,0.0381182772586003,(0.6928542104341605-0.40000469774826747j),0.6928542104341605,-0.40000469774826747
